Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Wind,Wind turbine,Electricity,Megawatts,MW,2045,5000,Jobs,Graduate Degree,# of New Jobs,0.00113,0.2690476190476175,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2025,238.0952380952381,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2026,476.1904761904762,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2027,714.2857142857143,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095239,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2028,952.3809523809524,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2029,1190.4761904761906,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.73809523809524,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2030,1428.5714285714287,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2031,1666.6666666666667,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2032,1904.7619047619048,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2033,2142.857142857143,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095246,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
