Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit,portfolio
Li Battery,Battery Storage,Electricity,Megawatts,MW,2037,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011,31196521565,8.08925E+11,0.808924872,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2038,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.7566,31196521565,7.7232E+11,0.772319806,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2039,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989,31196521565,7.35715E+11,0.73571474,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2040,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.40985979,31196521565,6.9911E+11,0.699109674,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2041,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648968,31196521565,6.62505E+11,0.662504608,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2042,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.06311957,31196521565,6.259E+11,0.625899542,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2043,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.88974946,31196521565,5.89294E+11,0.589294476,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2044,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.71637935,31196521565,5.52689E+11,0.55268941,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2045,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,16.54300924,31196521565,5.16084E+11,0.516084344,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2025,90.90909091,3599.822568,MJ per MWh,Effective MWh per MW,1670.821146,546787242.5,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142,546787242.5,21877182535,0.021877183,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2026,181.8181818,3599.822568,MJ per MWh,Effective MWh per MW,1698.006304,1111367530,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.83704132,1111367530,43162226671,0.043162227,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2027,272.7272727,3599.822568,MJ per MWh,Effective MWh per MW,1725.191462,1693740862,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367121,1693740862,63792498927,0.063792499,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2028,363.6363636,3599.822568,MJ per MWh,Effective MWh per MW,1752.37662,2293907239,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.4903011,2293907239,83705365822,0.083705366,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2029,454.5454545,3599.822568,MJ per MWh,Effective MWh per MW,1779.561779,2911866660,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693099,2911866660,1.02838E+11,0.102838194,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2030,545.4545455,3599.822568,MJ per MWh,Effective MWh per MW,1806.746937,3547619126,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356088,3547619126,1.21128E+11,0.12112835,million MT CO2e,Portfolio - Current Projects 1.29.2024
LDES,Pumped hydro,Electricity,Megawatts,MW,2031,636.3636364,3599.822568,MJ per MWh,Effective MWh per MW,1833.932095,4201164637,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019077,4201164637,1.38513E+11,0.1385132,million MT CO2e,Portfolio - Current Projects 1.29.2024
